bibtex_key,title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,selection_criteria,created_at,updated_at,created_by,updated_by,status,comments
8001849,SaR-WEB: A Semantic Web Tool to Support Search as Learning Practices and Cross-Language Results on the Web,D. {Taibi} and G. {Fulantelli} and I. {Marenzi} and W. {Nejdl} and R. {Rogers} and A. {Ijaz},,2017,IEEE Digital Library,522-524,,,inproceedings,10.1109/ICALT.2017.51,,,,computer aided instruction;data visualisation;query processing;search engines;semantic Web;semantic Web tool;cross-language results;multimodal Web search tool;digital method initiative;search engine language domains;search result visualization;semantic added value;semantic concept extraction;NER tool;SaR-Web system;high-level learning activities;Bloom taxonomy;Search engines;Tools;Visualization;Semantics;Tag clouds;Engines;Cultural differences;Digital methods;Search as learning;cross-language an,,,,,,"43730,1","43732,2",marcelo.machado,,Duplicated,
tibau2019using,Using Query Reformulation to Compare Learning Behaviors in Web Search Engines,M. {Tibau} and S. W. M. {Siqueira} and B. {Pereira Nunes} and T. {Nurmikko-Fuller} and R. F. {Manrique},,2019,IEEE Digital Library,219-223,2161-377X,,inproceedings,10.1109/ICALT.2019.00054,,,,query reformulation;query states;searching as learning;Web search engine;exploratory search;knowledge-intensive process,,,,,,"43730,1","43730,1",marcelo.machado,,Unclassified,
8433446,Modeling Exploratory Search as a Knowledge-Intensive Process,M. {Tibau} and S. W. M. {Siqueira} and B. {Pereira Nunes} and M. {Bortoluzzi} and I. {Marenzi},,2018,IEEE Digital Library,34-38,,,inproceedings,10.1109/ICALT.2018.00015,,,,computer aided instruction;decision making;information retrieval;Internet;knowledge based systems;teacher training;learning process;knowledge-intensive process;web searching;language teacher education;exploratory search;search pattern visualization;decision-making process;Web search;Task analysis;Tools;Search problems;Education;Electronic mail;Uncertainty;Exploratory search;Knowledge-intensive Process;Web searching;Search pattern;Search decision-making process,,,,,,"43730,1","43732,2",marcelo.machado,,Duplicated,
Moraes:2018:CSL:3269206.3271676,Contrasting Search As a Learning Activity with Instructor-designed Learning,"Moraes, Felipe and Putra, Sindunuraga Rikarno and Hauff, Claudia",,2018,ACM Digital Library,167--176,,,inproceedings,10.1145/3269206.3271676,http://doi.acm.org/10.1145/3269206.3271676,,,"search applications, search as learning, search behaviours analysis",ACM,,,,,"43730,1","43732,2",marcelo.machado,,Duplicated,
Bhattacharya:2018:REM:3204493.3204579,Relating Eye-tracking Measures with Changes in Knowledge on Search Tasks,"Bhattacharya, Nilavra and Gwizdka, Jacek",,2018,ACM Digital Library,62:1--62:5,,,inproceedings,10.1145/3204493.3204579,http://doi.acm.org/10.1145/3204493.3204579,,,"eye-tracking, knowledge assessment, search as learning",ACM,,,,,"43730,1","43732,2",marcelo.machado,,Duplicated,
Yu:2018:PUK:3209978.3210064,Predicting User Knowledge Gain in Informational Search Sessions,"Yu, Ran and Gadiraju, Ujwal and Holtz, Peter and Rokicki, Markus and Kemkes, Philipp and Dietze, Stefan",,2018,ACM Digital Library,75--84,,,inproceedings,10.1145/3209978.3210064,http://doi.acm.org/10.1145/3209978.3210064,,,"knowledge gain, search as learning, user modeling, web search",ACM,,,,,"43730,1","43732,2",marcelo.machado,,Duplicated,
Pardi:2019:SJB:3328413.3329405,Search and Justification Behavior During Multimedia Web Search for Procedural Knowledge,"Pardi, Georg and Kammerer, Yvonne and Gerjets, Peter",,2019,ACM Digital Library,17--20,,,inproceedings,10.1145/3328413.3329405,http://doi.acm.org/10.1145/3328413.3329405,,,"eye-tracking, modality, procedural knowledge, search as learning, search engine, videos",ACM,,,,,"43730,1","43730,1",marcelo.machado,,Unclassified,
Syed:2018:EDR:3176349.3176397,Exploring Document Retrieval Features Associated with Improved Short- and Long-term Vocabulary Learning Outcomes,"Syed, Rohail and Collins-Thompson, Kevyn",,2018,ACM Digital Library,191--200,,,inproceedings,10.1145/3176349.3176397,http://doi.acm.org/10.1145/3176349.3176397,,,"information retrieval, long-term learning, personalization, regression models, search as learning, vocabulary learning",ACM,,,,,"43730,1","43730,1",marcelo.machado,,Unclassified,
Bhattacharya:2019:MLD:3295750.3298926,"Measuring Learning During Search: Differences in Interactions, Eye-Gaze, and Semantic Similarity to Expert Knowledge","Bhattacharya, Nilavra and Gwizdka, Jacek",,2019,ACM Digital Library,63--71,,,inproceedings,10.1145/3295750.3298926,http://doi.acm.org/10.1145/3295750.3298926,,,"eye-tracking, human information behavior, measuring knowledge change, search as learning",ACM,,,,,"43730,1","43732,2",marcelo.machado,,Duplicated,
Smith:2019:KSS:3295750.3298940,Knowledge-Context in Search Systems: Toward Information-Literate Actions,"Smith, Catherine L. and Rieh, Soo Young",,2019,ACM Digital Library,55--62,,,inproceedings,10.1145/3295750.3298940,http://doi.acm.org/10.1145/3295750.3298940,,,"information literacy, learning-centric search, metacognition, search interaction, searching as learning, transactive memory",ACM,,,,,"43730,1","43732,2",marcelo.machado,,Duplicated,
Freund:2014:SLW:2637002.2643203,Searching As Learning (SAL) Workshop 2014,"Freund, Luanne and He, Jiyin and Gwizdka, Jacek and Kando, Noriko and Hansen, Preben and Rieh, Soo Young",,2014,ACM Digital Library,7--7,,,inproceedings,10.1145/2637002.2643203,http://doi.acm.org/10.1145/2637002.2643203,,,"human information interaction, learning, search",ACM,,,,,"43730,1","43732,2",marcelo.machado,,Duplicated,
Gwizdka:2016:SLW:2911451.2917766,Search As Learning (SAL) Workshop 2016,"Gwizdka, Jacek and Hansen, Preben and Hauff, Claudia and He, Jiyin and Kando, Noriko",,2016,ACM Digital Library,1249--1250,,,inproceedings,10.1145/2911451.2917766,http://doi.acm.org/10.1145/2911451.2917766,,,"human information interaction, learning, search",ACM,,,,,"43730,1","43732,2",marcelo.machado,,Duplicated,
Gadiraju:2018:NAS:3266231.3266235,"""A New Age of Search Systems"" by Ujwal Gadiraju with Martin Vesely As Coordinator: Understanding Knowledge Gained by Users Through Search","Gadiraju, Ujwal",SIGWEB Newsl.,2018,ACM Digital Library,4:1--4:11,,,article,10.1145/3266231.3266235,http://doi.acm.org/10.1145/3266231.3266235,,,,ACM,1931-1745,,,,"43730,1","43732,2",marcelo.machado,,Duplicated,
Jansen:2007:UWS:1242572.1242768,Understanding Web Search via a Learning Paradigm,"Jansen, Bernard J. and Smith, Brian and Booth, Danielle L.",,2007,ACM Digital Library,1207--1208,,,inproceedings,10.1145/1242572.1242768,http://doi.acm.org/10.1145/1242572.1242768,,,"Bloom's taxonomy, information searching",ACM,,,,,"43730,1","43732,2",marcelo.machado,,Duplicated,
Jansen:2007:VOS:1277741.1277945,Viewing Online Searching Within a Learning Paradigm,"Jansen, Bernard J. and Smith, Brian and Booth, Danielle L.",,2007,ACM Digital Library,859--860,,,inproceedings,10.1145/1277741.1277945,http://doi.acm.org/10.1145/1277741.1277945,,,"bloom's taxonomy, information searching",ACM,,,,,"43730,1","43732,2",marcelo.machado,,Duplicated,
eickhoff2017introduction,Introduction to the special issue on search as learning,"Eickhoff, Carsten and Gwizdka, Jacek and Hauff, Claudia and He, Jiyin",Information Retrieval Journal,2017,Springer Link,399--402,20,,article,,,,,,Springer,,,,,"43730,2","43730,2",marcelo.machado,,Unclassified,
azpiazu2017online,Online searching and learning: YUM and other search tools for children and teachers,"Azpiazu, Ion Madrazo and Dragovic, Nevena and Pera, Maria Soledad and Fails, Jerry Alan",Information Retrieval Journal,2017,Springer Link,524--545,20,,article,,,,,,Springer,,,,,"43730,2","43730,2",marcelo.machado,,Unclassified,
knight2017orchestration,The orchestration of a collaborative information seeking learning task,"Knight, Simon and Rienties, Bart and Littleton, Karen and Tempelaar, Dirk and Mitsui, Matthew and Shah, Chirag",Information Retrieval Journal,2017,Springer Link,480--505,20,,article,,,,,,Springer,,,,,"43730,2","43730,2",marcelo.machado,,Unclassified,
tibau2018investigating,Investigating Users’ Decision-Making Process While Searching Online and Their Shortcuts Towards Understanding,"Tibau, Marcelo and Siqueira, Sean WM and Nunes, Bernardo Pereira and Bortoluzzi, Maria and Marenzi, Ivana and Kemkes, Philipp",,2018,Springer Link,54--64,,,inproceedings,,,,,,,,,,,"43730,2","43732,2",marcelo.machado,,Duplicated,
weisbord2010future,Future Search as Action Learning,"Weisbord, Marvin R and Janoff, Sandra",,2010,Springer Link,179--191,,,incollection,,,,,,Springer,,,,,"43730,2","43732,2",marcelo.machado,,Duplicated,
maxwell2019impact,The impact of result diversification on search behaviour and performance,"Maxwell, David and Azzopardi, Leif and Moshfeghi, Yashar",Information Retrieval Journal,2019,Springer Link,1--25,,,article,,,,,,Springer,,,,,"43730,2","43730,2",marcelo.machado,,Unclassified,
johnson2018accessibility,From Accessibility to Assess-Ability: An Evaluation Heuristic Based on Cognitive Engagement in Search,"Johnson, Frances",,2018,Springer Link,487--497,,,inproceedings,,,,,,,,,,,"43730,2","43730,2",marcelo.machado,,Unclassified,
otto2019example,“Is This an Example Image?”--Predicting the Relative Abstractness Level of Image and Text,"Otto, Christian and Holzki, Sebastian and Ewerth, Ralph",,2019,Springer Link,711--725,,,inproceedings,,,,,,,,,,,"43730,2","43730,2",marcelo.machado,,Unclassified,
henning2018estimating,Estimating the information gap between textual and visual representations,"Henning, Christian and Ewerth, Ralph",International journal of multimedia information retrieval,2018,Springer Link,43--56,7,,article,,,,,,Springer,,,,,"43730,2","43730,2",marcelo.machado,,Unclassified,
syed2017optimizing,Optimizing search results for human learning goals,"Syed, Rohail and Collins-Thompson, Kevyn",Information Retrieval Journal,2017,Springer Link,506--523,20,,article,,,,,,Springer,,,,,"43730,2","43732,2",marcelo.machado,,Duplicated,
millan1999learning,Learning sensor-based navigation,"Millan, J del R and Torras, C",,1999,Springer Link,85--107,,,incollection,,,,,,Springer,,,,,"43730,2","43730,2",marcelo.machado,,Unclassified,
landoni2019sonny,"Sonny, Cerca! evaluating the impact of using a vocal assistant to search at school","Landoni, Monica and Matteri, Davide and Murgia, Emiliana and Huibers, Theo and Pera, Maria Soledad",,2019,Springer Link,101--113,,,inproceedings,,,,,,,,,,,"43730,2","43732,2",marcelo.machado,,Duplicated,
bagnoli1991buyers,Buyers' and sellers' agents in the housing market,"Bagnoli, Mark and Khanna, Naveen",The Journal of Real Estate Finance and Economics,1991,Springer Link,147--156,4,,article,,,,,,Springer,,,,,"43730,2","43732,2",marcelo.machado,,Duplicated,
weisbord1996future,Future search: Finding common ground in organizations and communities,"Weisbord, Marvin R and Janoff, Sandra",Systems Practice,1996,Springer Link,71--84,9,,article,,,,,,Springer,,,,,"43730,2","43732,2",marcelo.machado,,Duplicated,
moraes2019impact,On the impact of group size on collaborative search effectiveness,"Moraes, Felipe and Grashoff, Kilian and Hauff, Claudia",Information Retrieval Journal,2019,Springer Link,1--23,,,article,,,,,,Springer,,,,,"43730,2","43732,2",marcelo.machado,,Duplicated,
murray1995local,Local model architectures for nonlinear modelling and control,"Murray-Smith, Roderick and Hunt, Kenneth",,1995,Springer Link,61--82,,,incollection,,,,,,Springer,,,,,"43730,2","43730,2",marcelo.machado,,Unclassified,
mahdi2017keystone,KEYSTONE Activities and Results Overview on Enabling Mobility \& Fostering Collaborations Through STSM,"Mahdi, Abdulhussain E",,2017,Springer Link,239--259,,,inproceedings,,,,,,,,,,,"43730,2","43730,2",marcelo.machado,,Unclassified,
buganza2011experience,An experience in applying user centered design to search computing,"Buganza, Tommaso and Corubolo, Marta and Della Valle, Emanuele and Pellizzoni, Elena",,2011,Springer Link,239--255,,,incollection,,,,,,Springer,,,,,"43730,2","43732,2",marcelo.machado,,Duplicated,
schmalhofer1996some,Some late-breaking news from the data mines and a preview of the KOALA system: A prospector's report,"Schmalhofer, Franz and Kozieja, Christoph",,1996,Springer Link,213--228,,,inproceedings,,,,,,,,,,,"43730,2","43730,2",marcelo.machado,,Unclassified,
toutounji2016autonomous,Autonomous learning needs a second environmental feedback loop,"Toutounji, Hazem and Pasemann, Frank",,2016,Springer Link,455--472,,,incollection,,,,,,Springer,,,,,"43730,2","43732,2",marcelo.machado,,Duplicated,
anne2019knowing,WHY KNOWING WHAT TO DO IS NOT ENOUGH: A Realistic Perspective on Self-reliance in Society,"ANNE-GREET. TIEMEIJER KEIZER (WILL. BOVENS, MARK.)",,2019,Springer Link,,,,book,,,,,,SPRINGER,,,,,"43730,2","43730,2",marcelo.machado,,Unclassified,
legeai2010bioinformatic,"Bioinformatic prediction, deep sequencing of microRNAs and expression analysis during phenotypic plasticity in the pea aphid, Acyrthosiphon pisum","Legeai, Fabrice and Rizk, Guillaume and Walsh, Thomas and Edwards, Owain and Gordon, Karl and Lavenier, Dominique and Leterme, Nathalie and Méreau, Agnès and Nicolas, Jacques and Tagu, Denis and others",BMC genomics,2010,Springer Link,281,11,,article,,,,,,BioMed Central,,,,,"43730,2","43730,2",marcelo.machado,,Unclassified,
karanam2017role,The role of domain knowledge in cognitive modeling of information search,"Karanam, Saraschandra and Jorge-Botana, Guillermo and Olmos, Ricardo and van Oostendorp, Herre",Information Retrieval Journal,2017,Springer Link,456--479,20,,article,,,,,,Springer,,,,,"43730,2","43732,2",marcelo.machado,,Duplicated,
lu2017personalized,Personalized Information Seeking Assistant (PiSA): from programming information seeking to learning,"Lu, Yihan and Hsiao, I-Han",Information Retrieval Journal,2017,Springer Link,433--455,20,,article,,,,,,Springer,,,,,"43730,2","43730,2",marcelo.machado,,Unclassified,
kodama2017there,There’sa creepy guy on the other end at Google!: engaging middle school students in a drawing activity to elicit their mental models of Google,"Kodama, Christie and Jean, Beth St and Subramaniam, Mega and Taylor, Natalie Greene",Information Retrieval Journal,2017,Springer Link,403--432,20,,article,,,,,,Springer,,,,,"43730,2","43730,2",marcelo.machado,,Unclassified,
ALHABEEB20181,E-learning critical success factors: Comparing perspectives from academic staff and students,Abdullah Alhabeeb and Jennifer Rowley,Computers & Education,2018,Science@Direct,1 - 12,127,,article,https://doi.org/10.1016/j.compedu.2018.08.007,http://www.sciencedirect.com/science/article/pii/S0360131518302112,,,"Interactive learning environments, Adult learning, Country-specific developments",,0360-1315,,,,"43730,2","43730,2",marcelo.machado,,Unclassified,
WU2018244,Using time pressure and note-taking to prevent digital distraction behavior and enhance online search performance: Perspectives from the load theory of attention and cognitive control,Jiun-Yu Wu and Chen Xie,Computers in Human Behavior,2018,Science@Direct,244 - 254,88,,article,https://doi.org/10.1016/j.chb.2018.07.008,http://www.sciencedirect.com/science/article/pii/S0747563218303303,,,"Digital distraction, Media multitasking, Note-taking strategy, Time pressure, Browsing behaviors, Online learning performance",,0747-5632,,,,"43730,2","43730,2",marcelo.machado,,Unclassified,
BIELZA20115110,Regularized logistic regression without a penalty term: An application to cancer classification with microarray data,Concha Bielza and Víctor Robles and Pedro Larrañaga,Expert Systems with Applications,2011,Science@Direct,5110 - 5118,38,,article,https://doi.org/10.1016/j.eswa.2010.09.140,http://www.sciencedirect.com/science/article/pii/S0957417410010973,,,"Logistic regression, Regularization, Estimation of distribution algorithms, Cancer classification, Microarray data",,0957-4174,,,,"43730,2","43730,2",marcelo.machado,,Unclassified,
SRISAKDA2016239,Development of Indicators of Learner's Key Competencies Based on the Basic Education Core Curriculum,Boonsom Srisakda and Siridej Sujiva and Shotiga Pasiphol,Procedia - Social and Behavioral Sciences,2016,Science@Direct,239 - 248,217,,article,https://doi.org/10.1016/j.sbspro.2016.02.075,http://www.sciencedirect.com/science/article/pii/S1877042816001002,,,"Learner's key competencies, The basic education core curriculum",,1877-0428,,Future Academy Multidisciplinary Conference “ICEEPSY & CPSYC & icPSIRS & BE-ci” 13–17 October 2015 Istanbul,,"43730,2","43730,2",marcelo.machado,,Unclassified,
ROUET20091011,Introduction to “Learning with ICT: New perspectives on help seeking and information searching”,,Computers & Education,2009,Science@Direct,1011 - 1013,53,,article,https://doi.org/10.1016/j.compedu.2009.07.001,http://www.sciencedirect.com/science/article/pii/S0360131509001651,,,,,0360-1315,,Learning with ICT: New perspectives on help seeking and information searching,,"43730,2","43730,2",marcelo.machado,,Unclassified,
MIRASCIEVA20111404,Teaching in the religious education in the Republic of Macedonia today,Snezana Mirascieva and Vlado Petrovski and Emilija Petrova Gjorgjeva,Procedia - Social and Behavioral Sciences,2011,Science@Direct,1404 - 1409,15,,article,https://doi.org/10.1016/j.sbspro.2011.03.302,http://www.sciencedirect.com/science/article/pii/S1877042811004812,,,"Teaching, religious education, contemporary",,1877-0428,,3rd World Conference on Educational Sciences - 2011,,"43730,2","43730,2",marcelo.machado,,Unclassified,
LOPEZ20128878,A model for multi-label classification and ranking of learning objects,Vivian F. López and Fernando de la Prieta and Mitsunori Ogihara and Ding Ding Wong,Expert Systems with Applications,2012,Science@Direct,8878 - 8884,39,,article,https://doi.org/10.1016/j.eswa.2012.02.021,http://www.sciencedirect.com/science/article/pii/S0957417412002655,,,"Multi-label classification, Learning objects, Tagging, Metadata",,0957-4174,,,,"43730,2","43730,2",marcelo.machado,,Unclassified,
HERNANDEZORALLO20101508,Measuring universal intelligence: Towards an anytime intelligence test,José Hernández-Orallo and David L. Dowe,Artificial Intelligence,2010,Science@Direct,1508 - 1539,174,,article,https://doi.org/10.1016/j.artint.2010.09.006,http://www.sciencedirect.com/science/article/pii/S0004370210001554,,,"Measurement of intelligence, Artificial intelligence, Psychometrics, Algorithmic information theory, Kolmogorov complexity, Algorithmic probability, Turing test, Universal intelligence, Computerized adaptive testing, Compression, Inductive inference, Prediction, Minimum Message Length (MML), Reinforcement learning",,0004-3702,,,,"43730,2","43730,2",marcelo.machado,,Unclassified,
CHIOU2012192,Effect of Novak Colorful Concept Map with Digital Teaching Materials on Student Academic Achievement,Chei-Chang Chiou and Li-Tze Lee and Yu-Qian Liu,Procedia - Social and Behavioral Sciences,2012,Science@Direct,192 - 201,64,,article,https://doi.org/10.1016/j.sbspro.2012.11.023,http://www.sciencedirect.com/science/article/pii/S1877042812050008,,,"Advanced Accounting, Colors, Concept maps, Constructivisit perspectives, Higher education",,1877-0428,,12 th International Educational Technology Conference - IETC 2012,,"43730,2","43730,2",marcelo.machado,,Unclassified,
ALIYU2012656,Exploring Islamic Website Features that Influence user Satisfaction: A Conceptual Model,Mansur Aliyu and Murni Mahmud and Abu Osman Md Tap,Procedia - Social and Behavioral Sciences,2012,Science@Direct,656 - 661,65,,article,https://doi.org/10.1016/j.sbspro.2012.11.180,http://www.sciencedirect.com/science/article/pii/S1877042812051658,,,"Islamic websites, Design features, Content features, Islamic features, User satisfaction",,1877-0428,,International Congress on Interdisciplinary Business and Social Sciences 2012 (ICIBSoS 2012),,"43730,2","43730,2",marcelo.machado,,Unclassified,
ALMERICH2016110,Teachers’ information and communication technology competences: A structural approach,Gonzalo Almerich and Natividad Orellana and Jesús Suárez-Rodríguez and Isabel Díaz-García,Computers & Education,2016,Science@Direct,110 - 125,100,,article,https://doi.org/10.1016/j.compedu.2016.05.002,http://www.sciencedirect.com/science/article/pii/S0360131516301129,,,"ICT competences, Teacher, Primary education, Secondary education, Higher education",,0360-1315,,,,"43730,2","43730,2",marcelo.machado,,Unclassified,
OHNO201825,Empirical studies of Gaussian process based Bayesian optimization using evolutionary computation for materials informatics,Hiroshi Ohno,Expert Systems with Applications,2018,Science@Direct,25 - 48,96,,article,https://doi.org/10.1016/j.eswa.2017.11.026,http://www.sciencedirect.com/science/article/pii/S0957417417307820,,,"Bayesian optimization, Markov random search, Gaussian process, Ensemble, Evolutionary computation, Materials informatics",,0957-4174,,,,"43730,2","43730,2",marcelo.machado,,Unclassified,
CHATTERJEE201210943,Reliability estimation using a genetic algorithm-based artificial neural network: An application to a load-haul-dump machine,Snehamoy Chatterjee and Sukumar Bandopadhyay,Expert Systems with Applications,2012,Science@Direct,10943 - 10951,39,,article,https://doi.org/10.1016/j.eswa.2012.03.030,http://www.sciencedirect.com/science/article/pii/S0957417412005003,,,"Systems reliability, Variable selection, Genetic algorithm, Entropy, Learning parameters",,0957-4174,,,,"43730,2","43730,2",marcelo.machado,,Unclassified,
RECEPOGLU2013618,Analyzing teachers’ perceptions on learning organizations in terms of different variables,Ergün Recepoğlu,Procedia - Social and Behavioral Sciences,2013,Science@Direct,618 - 623,93,,article,https://doi.org/10.1016/j.sbspro.2013.09.249,http://www.sciencedirect.com/science/article/pii/S1877042813033521,,,"Learning organization, primary school, teacher",,1877-0428,,"3rd World Conference on Learning, Teaching and Educational Leadership",,"43730,2","43730,2",marcelo.machado,,Unclassified,
SOLER20171316,Diagnosis of Educational Needs for the Implementation of Blended Courses Based on the Blended Learning Model. The Case of the Social Sciences Faculty of the National University of Costa Rica,Rebeca Soler and Juan Ramón Soler and Isabel Araya,Procedia - Social and Behavioral Sciences,2017,Science@Direct,1316 - 1322,237,,article,https://doi.org/10.1016/j.sbspro.2017.02.216,http://www.sciencedirect.com/science/article/pii/S1877042817302161,,,"Curricular diagnosis, blended learning, university education, curricular flexibility, ICT in training programs",,1877-0428,,"Education, Health and ICT for a Transcultural World",,"43730,2","43730,2",marcelo.machado,,Unclassified,
MUNOZ20155995,OntoSakai: On the optimization of a Learning Management System using semantics and user profiling,Andrés Muñoz and Joaquín Lasheras and Ana Capel and Magdalena Cantabella and Alberto Caballero,Expert Systems with Applications,2015,Science@Direct,5995 - 6007,42,,article,https://doi.org/10.1016/j.eswa.2015.04.019,http://www.sciencedirect.com/science/article/pii/S0957417415002493,,,"Learning Management Systems, Automatic recommendation, User profiling, Context-aware, Ontologies",,0957-4174,,,,"43730,2","43730,2",marcelo.machado,,Unclassified,
VALMARSKA2017147,Refinement and selection heuristics in subgroup discovery and classification rule learning,Anita Valmarska and Nada Lavrač and Johannes Fürnkranz and Marko Robnik-Šikonja,Expert Systems with Applications,2017,Science@Direct,147 - 162,81,,article,https://doi.org/10.1016/j.eswa.2017.03.041,http://www.sciencedirect.com/science/article/pii/S0957417417301914,,,"Rule learning, Subgroup discovery, Inverted heuristics",,0957-4174,,,,"43730,2","43730,2",marcelo.machado,,Unclassified,
TABONE20102077,Personal uses of internet and perceptions of parental mediation: a research with children 10 and 11 years old,Sara Tabone and Laura Messina,Procedia - Social and Behavioral Sciences,2010,Science@Direct,2077 - 2082,2,,article,https://doi.org/10.1016/j.sbspro.2010.03.284,http://www.sciencedirect.com/science/article/pii/S1877042810003241,,,"Internet use, usage level, usage functions, usage meaning, parental mediation, tweens",,1877-0428,,Innovation and Creativity in Education,,"43730,2","43730,2",marcelo.machado,,Unclassified,
CHIN201314,A Mobile Learning Support System for Ubiquitous Learning Environments,Kai-Yi Chin and Yen-Lin Chen,Procedia - Social and Behavioral Sciences,2013,Science@Direct,14 - 21,73,,article,https://doi.org/10.1016/j.sbspro.2013.02.013,http://www.sciencedirect.com/science/article/pii/S1877042813003066,,,"Local-aware learning, Mobile learning, Ubiquitous learning, 2D barcodes, GPS technology",,1877-0428,,"Proceedings of the 2nd International Conference on Integrated Information (IC-ININFO 2012), Budapest, Hungary, August 30 – September 3, 2012",,"43730,2","43730,2",marcelo.machado,,Unclassified,
SHIUE200911451,GA-based learning bias selection mechanism for real-time scheduling systems,Yeou-Ren Shiue and Ruey-Shiang Guh and Tsung-Yuan Tseng,Expert Systems with Applications,2009,Science@Direct,11451 - 11460,36,,article,https://doi.org/10.1016/j.eswa.2009.03.019,http://www.sciencedirect.com/science/article/pii/S0957417409003030,,,"Real-time scheduling, Machine learning, Decision tree, Artificial neural network, Support vector machine, Genetic algorithm, Feature selection",,0957-4174,,,,"43730,2","43730,2",marcelo.machado,,Unclassified,
KNOX201524,"Framing reinforcement learning from human reward: Reward positivity, temporal discounting, episodicity, and performance",W. Bradley Knox and Peter Stone,Artificial Intelligence,2015,Science@Direct,24 - 50,225,,article,https://doi.org/10.1016/j.artint.2015.03.009,http://www.sciencedirect.com/science/article/pii/S0004370215000557,,,"Reinforcement learning, Modeling user behavior, End-user programming, Human–agent interaction, Interactive machine learning, Human teachers",,0004-3702,,,,"43730,2","43730,2",marcelo.machado,,Unclassified,
HANNINEN20141632,Bayesian network modeling of Port State Control inspection findings and ship accident involvement,Maria Hänninen and Pentti Kujala,Expert Systems with Applications,2014,Science@Direct,1632 - 1646,41,,article,https://doi.org/10.1016/j.eswa.2013.08.060,http://www.sciencedirect.com/science/article/pii/S0957417413006817,,,"Maritime traffic accidents, Bayesian networks, Port State Control, Hidden variables, Maritime traffic safety",,0957-4174,,,,"43730,2","43730,2",marcelo.machado,,Unclassified,
SIGALA2014800,Investigating the exploitation of web 2.0 for knowledge management in the Greek tourism industry: An utilisation–importance analysis,Marianna Sigala and Kalotina Chalkiti,Computers in Human Behavior,2014,Science@Direct,800 - 812,30,,article,https://doi.org/10.1016/j.chb.2013.05.032,http://www.sciencedirect.com/science/article/pii/S0747563213001891,,,"Knowledge management, Web 2.0, Greece, Tourism, Social media, Utilisation–importance matrix",,0747-5632,,,,"43730,2","43730,2",marcelo.machado,,Unclassified,
CHEN20122246,Model-based multidimensional clustering of categorical data,Tao Chen and Nevin L. Zhang and Tengfei Liu and Kin Man Poon and Yi Wang,Artificial Intelligence,2012,Science@Direct,2246 - 2269,176,,article,https://doi.org/10.1016/j.artint.2011.09.003,http://www.sciencedirect.com/science/article/pii/S000437021100110X,,,"Model-based clustering, Categorical data, Multidimensional clustering, Latent tree models",,0004-3702,,,,"43730,2","43730,2",marcelo.machado,,Unclassified,
WANG20123153,Special knowledge sharing incentive mechanism for two clients with complementary knowledge: A principal-agent perspective,Mingzheng Wang and Changyan Shao,Expert Systems with Applications,2012,Science@Direct,3153 - 3161,39,,article,https://doi.org/10.1016/j.eswa.2011.09.001,http://www.sciencedirect.com/science/article/pii/S0957417411013108,,,"Knowledge sharing, Knowledge complementary, Incentive mechanism, Principal-agent theory",,0957-4174,,,,"43730,2","43730,2",marcelo.machado,,Unclassified,
OH20131451,Design of face recognition algorithm using PCA -LDA combined for hybrid data pre-processing and polynomial-based RBF neural networks : Design and its application,Sung-Kwun Oh and Sung-Hoon Yoo and Witold Pedrycz,Expert Systems with Applications,2013,Science@Direct,1451 - 1466,40,,article,https://doi.org/10.1016/j.eswa.2012.08.046,http://www.sciencedirect.com/science/article/pii/S095741741201007X,,,"PCA, LDA, P-RBF NNs, FCM, DE",,0957-4174,,,,"43730,2","43730,2",marcelo.machado,,Unclassified,
KANG201112739,Propositionalized attribute taxonomies from data for data-driven construction of concise classifiers,Dae-Ki Kang and Myoung-Jong Kim,Expert Systems with Applications,2011,Science@Direct,12739 - 12746,38,,article,https://doi.org/10.1016/j.eswa.2011.04.062,http://www.sciencedirect.com/science/article/pii/S0957417411005781,,,"Propositionalization, Taxonomy, Naive Bayes learner",,0957-4174,,,,"43730,2","43730,2",marcelo.machado,,Unclassified,
CHOU20101004,"The technical framework of interactive functions for course-management systems: Students’ perceptions, uses, and evaluations",Chien Chou and Hsinyi Peng and Chun-Yu Chang,Computers & Education,2010,Science@Direct,1004 - 1017,55,,article,https://doi.org/10.1016/j.compedu.2010.04.011,http://www.sciencedirect.com/science/article/pii/S0360131510001181,,,"Distributed learning environments, Evaluation of CAL systems, Interactive learning environments, Post-secondary education",,0360-1315,,,,"43730,2","43730,2",marcelo.machado,,Unclassified,
PASAWANO2015946,Results of Enhanced Learning with the Edutainment Format,Tiamyod Pasawano,Procedia - Social and Behavioral Sciences,2015,Science@Direct,946 - 951,176,,article,https://doi.org/10.1016/j.sbspro.2015.01.563,http://www.sciencedirect.com/science/article/pii/S187704281500600X,,,"Edutainment, Play and learn, Educational technology",,1877-0428,,"International Educational Technology Conference, IETC 2014, 3-5 September 2014, Chicago, IL, USA",,"43730,2","43730,2",marcelo.machado,,Unclassified,
